RI,Value
1327.6625172891,9390
1327.8930382665,8684
1328.1696634394,8433
1328.4001844168,9083
1328.6307053942,8176
1328.9073305671,9314
1329.1378515445,8245
1329.4144767174,8857
1329.6449976948,8638
1329.8755186722,8932
1330.1521438451,9161
1330.3826648225,8709
1330.6592899954,8321
1330.8898109728,9244
1331.1203319502,8476
1331.3969571231,9274
1331.6274781005,8207
1331.9041032734,8236
1332.1346242508,8742
1332.3651452282,8899
1332.6417704011,8736
1332.8722913785,9277
1333.1489165514,7931
1333.3794375288,7755
1333.6099585062,8451
1333.8865836791,8597
1334.1171046565,8915
1334.3937298294,9340
1334.6242508068,10006
1334.8547717842,11511
1335.1313969571,13283
1335.3619179345,16831
1335.6385431074,20647
1335.8690640848,24535
1336.0995850622,24045
1336.3762102351,22344
1336.6067312125,19738
1336.8833563854,17031
1337.1138773628,14005
1337.3443983402,12941
1337.6210235131,11441
1337.8515444905,10057
1338.1281696634,9999
1338.3586906408,9641
1338.5892116183,8778
1338.8658367911,9038
1339.0963577686,9249
1339.3729829414,10330
1339.6035039189,9831
1339.8340248963,9645
1340.1106500692,8625
1340.3411710466,8452
1340.6177962195,9094
1340.8483171969,8736
1341.1249423698,8671
1341.3554633472,8435
1341.5859843246,8857
1341.8626094975,9355
1342.0931304749,9033
1342.3697556478,8673
1342.6002766252,9984
1342.8307976026,10012
1343.1074227755,10450
1343.3379437529,11713
1343.6145689258,11957
1343.8450899032,11802
1344.0756108806,15073
1344.3522360535,14388
1344.5827570309,18187
1344.8593822038,23132
1345.0899031812,27889
1345.3204241586,32517
1345.5970493315,35148
1345.8275703089,33349
1346.1041954818,30046
1346.3347164592,24634
1346.5652374366,21868
1346.8418626095,16310
1347.0723835869,14196
1347.3490087598,11670
1347.5795297372,10249
1347.8100507146,9764
1348.0866758875,10313
1348.3171968649,9172
1348.5938220378,9524
1348.8243430152,9320
1349.0548639926,9525
1349.3314891655,10869
1349.5620101429,11167
1349.8386353158,11741
1350.0691562932,13038
1350.2996772706,13505
1350.5763024435,17482
1350.8068234209,20135
1351.0834485938,23272
1351.3139695712,23932
1351.5444905486,23314
1351.8211157215,21736
1352.0516366989,19289
1352.3282618718,17496
1352.5587828492,17121
1352.7893038266,17278
1353.0659289995,17133
1353.2964499769,19683
1353.5730751498,19016
1353.8035961272,19614
1354.0341171047,17201
1354.3107422775,16501
1354.541263255,14115
1354.8178884278,13101
1355.0484094053,13227
1355.2789303827,11616
1355.5555555556,11401
1355.786076533,11088
1356.0627017059,11505
1356.2932226833,10590
1356.5237436607,10855
1356.8003688336,10983
1357.030889811,10849
1357.3075149839,11776
1357.5380359613,13121
1357.7685569387,15587
1358.0451821116,17641
1358.275703089,21831
1358.5523282619,23887
1358.7828492393,30721
1359.0133702167,37394
1359.2899953896,41036
1359.520516367,40956
1359.7971415399,37571
1360.0276625173,33536
1360.2581834947,28325
1360.5348086676,22127
1360.765329645,16848
1361.0419548179,14446
1361.2724757953,13618
1361.5029967727,14099
1361.7796219456,15215
1362.010142923,15505
1362.2867680959,15121
1362.5172890733,14421
1362.7478100507,13311
1363.0244352236,12493
1363.254956201,11288
1363.5315813739,10981
1363.7621023513,10121
1363.9926233287,9846
1364.2692485016,10023
1364.499769479,9620
1364.7763946519,8767
1365.0069156293,9521
1365.2835408022,9552
1365.5140617796,9964
1365.744582757,11037
1366.0212079299,12869
1366.2517289073,13099
1366.5283540802,13583
1366.7588750576,13173
1366.989396035,11319
1367.2660212079,11256
1367.4965421853,10181
1367.7731673582,9967
1368.0036883356,11094
1368.234209313,11575
1368.5108344859,12468
1368.7413554633,13775
1369.0179806362,16459
1369.2485016136,15722
1369.4790225911,15148
1369.7556477639,17268
1369.9861687414,18409
1370.2627939142,18290
1370.4933148917,18549
1370.7238358691,18884
1371.000461042,17159
1371.2309820194,16900
1371.5076071923,15924
1371.7381281697,14146
1371.9686491471,12761
1372.24527432,12926
1372.4757952974,11503
1372.7524204703,12263
1372.9829414477,11813
1373.2134624251,11514
1373.490087598,10805
1373.7206085754,10159
1373.9972337483,10532
1374.2277547257,10548
1374.4582757031,10967
1374.734900876,10410
1374.9654218534,10307
1375.2420470263,9360
1375.4725680037,9410
1375.7030889811,8559
1375.979714154,9578
1376.2102351314,9177
1376.4868603043,9631
1376.7173812817,10260
1376.9479022591,9357
1377.224527432,10252
1377.4550484094,10044
1377.7316735823,10017
1377.9621945597,9882
1378.1927155371,9574
1378.46934071,10207
1378.6998616874,9593
1378.9764868603,9374
1379.2070078377,9426
