URL	chrom://isq7ci1912004/ChromeleonLocal/AK Simat/2024/PVC Lina/2024-02_Vorversuche/2024-02_PVC-Tischde.seq/220.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024-02_PVC-Tischde
Name	PVC-Tischdecke µC A 0,2g 50C 30min Split 1:20
Number	2
Position	66
Comment	ODP Lina
Processing Method	MS Quantitative
Instrument Method	manualTD-WAX-MS-O_L1
Type	Calibration Standard
Status	Finished
Inject Time	2/21/2024 9:15:20 AM +01:00
Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033905
Time Max. (min)	50.003447
Data Points	55452
Detector	MSDevice
Generating Data System	Chromeleon 7.2.10 Build 23925 (cfd1e7af542fd56c07b8e0c2791055c459cfcf14)
Exporting Data System	Chromeleon 7.2.10.0
Operator	ISQ7000
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	13,079,911.128393
Signal Max.	5,872,703,630.459210
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.054
Max. Step (s)	0.0541
Average Step (s)	0.05406886

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.437620	0.0541	18,166,925.415175
0.438522	0.0541	18,088,872.876105
0.439422	0.054	18,198,226.899623
0.440323	0.0541	18,416,727.080301
0.441225	0.0541	18,521,238.617459
0.442125	0.054	18,498,031.903390
0.443027	0.0541	18,508,022.119836
0.443928	0.0541	18,364,810.197362
0.444828	0.054	17,882,840.564583
0.445730	0.0541	17,499,977.200821
0.446632	0.0541	17,524,823.473020
0.447532	0.054	17,749,669.531837
0.448433	0.0541	17,990,306.856270
0.449335	0.0541	18,285,582.505936
0.450237	0.0541	18,620,787.651289
0.451137	0.054	18,786,647.012402
0.452038	0.0541	18,675,106.955774
0.452940	0.0541	18,479,816.589415
0.453840	0.054	18,276,767.259875
0.454742	0.0541	18,117,640.460013
0.455643	0.0541	18,135,317.614645
0.456543	0.054	18,126,502.418256
0.457445	0.0541	17,892,771.142957
0.458347	0.0541	17,663,035.510928
0.459247	0.054	17,539,962.080416
0.460148	0.0541	17,310,138.690030
0.461050	0.0541	17,218,187.151683
0.461950	0.054	17,517,762.421422
0.462852	0.0541	17,716,499.143323
0.463753	0.0541	17,629,674.385788
0.464655	0.0541	17,696,395.817963
0.465555	0.054	18,003,401.050742
0.466457	0.0541	18,306,350.858518
0.467358	0.0541	18,511,996.028643
0.468258	0.054	18,640,091.269168
0.469160	0.0541	18,519,566.164706
0.470062	0.0541	18,225,498.286085
0.470962	0.054	18,018,905.089733
0.471863	0.0541	17,985,307.343379
0.472765	0.0541	18,348,107.769344
0.473665	0.054	18,986,170.443292
0.474567	0.0541	19,399,318.479076
0.475468	0.0541	19,437,450.021335
0.476368	0.054	19,305,773.931844
0.477270	0.0541	19,040,604.812285
0.478172	0.0541	18,540,670.706646
0.479073	0.0541	18,076,176.713276
0.479973	0.054	17,862,077.429588
0.480875	0.0541	17,839,533.269360
0.481777	0.0541	17,968,016.928237
0.482677	0.054	18,170,548.472015
0.483578	0.0541	18,408,661.672579
0.484480	0.0541	18,494,276.344157
0.485380	0.054	18,465,879.248380
0.486282	0.0541	18,537,626.722252
0.487183	0.0541	18,536,461.439117
0.488083	0.054	18,351,286.924058
0.488985	0.0541	18,192,264.008213
0.489887	0.0541	18,276,248.040801
0.490787	0.054	18,559,256.108201
0.491688	0.0541	18,861,783.833919
0.492590	0.0541	19,034,377.822361
0.493492	0.0541	18,983,954.622875
0.494392	0.054	18,754,239.278232
0.495293	0.0541	18,459,201.081166
0.496195	0.0541	18,263,225.124890
0.497095	0.054	18,306,988.551935
0.497997	0.0541	18,459,262.631447
0.498898	0.0541	18,373,336.823179
0.499798	0.054	18,013,491.105628
0.500700	0.0541	17,696,996.906018
0.501602	0.0541	17,692,666.583319
