RI,Value
1324.544,2974
1324.681,2371
1324.818,2912
1324.954,3326
1325.137,2907
1325.274,3572
1325.411,3352
1325.547,3342
1325.684,3536
1325.821,3291
1326.004,3245
1326.141,2587
1326.277,2732
1326.414,3159
1326.551,3660
1326.688,3257
1326.825,3323
1327.007,3555
1327.144,2815
1327.281,3295
1327.418,3270
1327.555,2384
1327.692,2687
1327.874,3311
1328.011,2523
1328.148,2242
1328.285,2867
1328.422,1937
1328.558,2513
1328.741,2556
1328.878,2898
1329.015,2954
1329.151,2589
1329.288,2013
1329.425,2473
1329.608,2941
1329.745,2567
1329.881,2610
1330.018,2661
1330.155,2432
1330.292,2393
1330.474,3011
1330.611,2605
1330.748,2576
1330.885,2332
1331.022,2697
1331.159,1819
1331.341,2879
1331.478,2664
1331.615,2468
1331.752,2973
1331.889,2781
1332.026,2866
1332.162,2307
1332.345,2538
1332.482,2700
1332.619,2315
1332.755,2443
1332.892,2705
1333.029,3401
1333.212,2472
1333.349,2550
1333.485,3054
1333.622,2779
1333.759,3549
1333.896,2779
1334.078,3706
1334.215,3115
1334.352,3310
1334.489,3334
1334.626,3228
1334.763,3322
1334.945,3146
1335.082,2938
